Joint_L0_deg,Joint_L1_deg,Joint_L2_U_deg,Joint_L3_U_deg,Joint_L2_R_deg,Joint_L2_L_deg,Joint_L3_R_deg,Joint_L3_L_deg,Joint_L4_R_deg,Joint_L4_L_deg,Joint_L5_R_deg,Joint_L5_L_deg,Joint_L6_R_deg,Joint_L6_L_deg,Joint_L7_R_deg,Joint_L7_L_deg,Joint_L8_R_deg,Joint_L8_L_deg
0.0002684517821762711,0.0,0.0,0.0,15.807666778564453,-15.808618545532227,70.65752410888672,-70.65746307373047,94.80614471435547,-94.80686950683594,82.37018585205078,-82.3685531616211,109.58418273925781,-109.58500671386719,-11.934803009033203,11.94171142578125,10.290226936340332,10.290090560913086
0.0002889423631131649,0.0,0.0,0.0,15.6309175491333,-15.631914138793945,71.68858337402344,-71.68858337402344,94.09477233886719,-94.09548950195312,83.36271667480469,-83.36117553710938,108.7553482055664,-108.7562255859375,-10.850866317749023,10.85777473449707,10.71009635925293,10.710051536560059
0.0002919305698014796,0.0,0.0,0.0,15.479671478271484,-15.480652809143066,72.74462890625,-72.74465942382812,93.33680725097656,-93.3375473022461,84.29261016845703,-84.29106140136719,107.8747329711914,-107.87565612792969,-9.760187149047852,9.767123222351074,11.110518455505371,11.110440254211426
0.0003222395316697657,0.0,0.0,0.0,15.354316711425781,-15.355284690856934,73.82049560546875,-73.82057189941406,92.53721618652344,-92.53795623779297,85.15139770507812,-85.14990234375,106.94789123535156,-106.9488525390625,-8.668410301208496,8.675361633300781,11.48873233795166,11.48863697052002
0.0003211722942069173,0.0,0.0,0.0,15.254682540893555,-15.255610466003418,74.91105651855469,-74.91117858886719,91.70157623291016,-91.70233917236328,85.9323501586914,-85.93083953857422,105.98126220703125,-105.98225402832031,-7.580869674682617,7.587826251983643,11.84245491027832,11.842297554016113
0.00036364755942486227,0.0,0.0,0.0,15.180143356323242,-15.181087493896484,76.0110855102539,-76.01123046875,90.8363037109375,-90.83708190917969,86.63018035888672,-86.62873840332031,104.98204803466797,-104.98309326171875,-6.502516746520996,6.509495258331299,12.169666290283203,12.169539451599121
0.0003826440079137683,0.0,0.0,0.0,15.12976360321045,-15.130716323852539,77.11524963378906,-77.11540985107422,89.94834899902344,-89.94914245605469,87.24127960205078,-87.23986053466797,103.95807647705078,-103.95914459228516,-5.437959671020508,5.444931983947754,12.468953132629395,12.468850135803223
0.00039246241794899106,0.0,0.0,0.0,15.102256774902344,-15.103170394897461,78.21812438964844,-78.21829986572266,89.04517364501953,-89.04600524902344,87.76371002197266,-87.76228332519531,102.91779327392578,-102.91893005371094,-4.39155387878418,4.398566722869873,12.739323616027832,12.73916244506836
0.0004059093480464071,0.0,0.0,0.0,15.096044540405273,-15.096957206726074,79.31420135498047,-79.31442260742188,88.13455200195312,-88.1353759765625,88.19695281982422,-88.19559478759766,101.86995697021484,-101.87110137939453,-3.3674392700195312,3.374433994293213,12.979989051818848,12.979832649230957
0.0004308822099119425,0.0,0.0,0.0,15.109456062316895,-15.110339164733887,80.3978271484375,-80.3980712890625,87.22439575195312,-87.2252426147461,88.54227447509766,-88.54094696044922,100.82347869873047,-100.82464599609375,-2.3695058822631836,2.3765101432800293,13.190755844116211,13.19058895111084
0.00042405203566886485,0.0,0.0,0.0,15.14051628112793,-15.14136028289795,81.46332550048828,-81.46357727050781,86.32267761230469,-86.32355499267578,88.80237579345703,-88.80103302001953,99.78742218017578,-99.78863525390625,-1.401540994644165,1.4085662364959717,13.371906280517578,13.371627807617188
0.0004574559279717505,0.0,0.0,0.0,15.187122344970703,-15.187975883483887,82.50479888916016,-82.50506591796875,85.43730926513672,-85.43817138671875,88.98139953613281,-88.98014068603516,98.7706527709961,-98.77188110351562,-0.46718600392341614,0.47422879934310913,13.523965835571289,13.523719787597656
0.0004635390650946647,0.0,0.0,0.0,15.24715805053711,-15.24799633026123,83.5163803100586,-83.51665496826172,84.57589721679688,-84.57673645019531,89.08499145507812,-89.08378601074219,97.7818832397461,-97.78312683105469,0.42991718649864197,-0.4228561520576477,13.648118019104004,13.647870063781738
0.0004793338885065168,0.0,0.0,0.0,15.318304061889648,-15.319113731384277,84.49201965332031,-84.4923095703125,83.74571228027344,-83.74658203125,89.12007904052734,-89.1188735961914,96.82937622070312,-96.83064270019531,1.2861289978027344,-1.2790888547897339,13.745925903320312,13.745668411254883
0.0004741045122500509,0.0,0.0,0.0,15.398218154907227,-15.398977279663086,85.42559814453125,-85.42591857910156,82.95366668701172,-82.95455169677734,89.09463500976562,-89.09343719482422,95.92091369628906,-95.9222183227539,2.097813606262207,-2.0907785892486572,13.819314956665039,13.818957328796387
